YEAR,STATE,RATE,DEATHS,Median Household Income,% Povrty_2019,Urban Percentage_2010,violent_crime_rate_2019,% with HS or higher,% with Bachelors,% with Advanced Degree,% of households with guns,gun control laws,Avg Age 2019,state mental health expenditures 2013,URL
2019,AL,22.2,1076,56200,15.5,59,510.8,87.11,26.35,10.4,55.5,0,39.4,72.64,/nchs/pressroom/states/alabama/al.htm
2019,AK,24.4,179,78394,10.1,66,867.1,93.58,30.19,11.69,64.5,0,35,341.08,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,15.1,1136,70674,13.5,89.8,455.3,87.6,30.18,11.35,46.3,0,38.3,205.23,/nchs/pressroom/states/arizona/az.htm
2019,AR,19.3,580,54539,16.2,56.2,584.6,87.48,23.34,8.26,57.2,0,38.8,45.56,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,7.2,2945,78394,11.8,95,441.2,84.03,35,13.14,28.3,4,37,160.5,/nchs/pressroom/states/california/ca.htm
2019,CO,14.2,846,72499,9.3,86.2,381,92.4,42.66,16.04,45.1,2.6,37.1,98.8,/nchs/pressroom/states/colorado/co.htm
2019,CT,5.3,190,87291,10,88,183.6,90.71,39.84,17.84,23.6,3.6,41.2,216.76,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,9.9,93,74194,11.3,83.3,422.6,90.32,33.2,13.66,34.4,3,41.4,96.53,/nchs/pressroom/states/delaware/de.htm
2019,FL,12.7,2872,58368,12.7,91.2,378.4,88.41,30.7,11.44,35.3,1.6,42.4,null,/nchs/pressroom/states/florida/fl.htm
2019,GA,15.8,1695,56628,13.3,75.1,340.7,87.91,32.51,12.59,49.2,0,37.2,59.33,/nchs/pressroom/states/georgia/ga.htm
2019,HI,4.4,62,88006,9.3,91.9,285.5,92.38,33.63,11.56,14.9,3.6,39.6,131.77,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,14.2,255,65988,11.2,70.6,223.8,91.47,28.75,9.95,60.1,0,36.9,32.77,/nchs/pressroom/states/idaho/id.htm
2019,IL,10.8,1367,74399,11.5,88.5,406.9,89.85,35.76,14.06,27.8,3.6,38.6,72.44,/nchs/pressroom/states/illinois/il.htm
2019,IN,14.1,958,66693,11.9,72.4,370.8,89.6,26.94,9.66,44.8,0.6,38,70.67,/nchs/pressroom/states/indiana/in.htm
2019,IA,9.1,294,66054,11.2,64,266.6,92.63,29.31,9.52,43.6,2,38.5,142.38,/nchs/pressroom/states/iowa/ia.htm
2019,KS,13.7,403,73151,11.4,74.3,410.8,91.78,34.02,12.39,48.9,0,37.2,125.47,/nchs/pressroom/states/kansas/ks.htm
2019,KY,14.9,682,55662,16.3,58.4,217.1,87.19,25.13,10.26,54.6,0,39.2,55.06,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,22.1,1013,51707,19,73.2,549.3,85.96,24.98,8.93,53.1,0,37.7,55.5,/nchs/pressroom/states/louisiana/la.htm
2019,ME,11.5,163,66546,10.9,38.7,115.2,93.21,33.19,12.44,46.8,0,45.1,345.36,/nchs/pressroom/states/maine/me.htm
2019,MD,12.6,757,95572,9,87.2,454.1,90.39,40.88,19.08,30.2,3.6,39,178.82,/nchs/pressroom/states/maryland/md.htm
2019,MA,3.4,247,87707,9.4,92,327.6,91.32,44.98,20.3,14.7,3.6,39.7,110.33,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,12.1,1220,64119,13,74.6,437.4,91.35,30.03,1187,40.2,2,39.8,130.1,/nchs/pressroom/states/michigan/mi.htm
2019,MN,8.1,465,81426,9,73.3,236.4,93.61,37.25,12.75,42.8,2.6,38.4,177.88,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,24.2,710,44787,19.6,49.4,277.9,85.3,22.31,8.64,55.8,0,38.3,55.95,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,20.6,1252,60597,12.9,70.4,495,90.68,30.22,11.78,48.8,0,38.9,99.4,/nchs/pressroom/states/missouri/mo.htm
2019,MT,19,209,60195,12.6,55.9,404.9,94.25,33.58,10.49,66.3,0,40.5,208.32,/nchs/pressroom/states/montana/mt.htm
2019,NE,10.4,205,73071,9.9,73.1,300.9,92.04,33.23,11.44,45.2,2,36.8,89.75,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,15.3,490,70906,12.5,94.2,493.8,86.85,25.69,9.04,47.3,2.6,38.4,89.41,/nchs/pressroom/states/nevada/nv.htm
2019,NH,10.7,156,86900,7.3,60.3,152.5,93.3,37.58,14.66,41.1,0,43,138.4,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,4.1,368,87726,9.2,94.7,206.9,90.32,41.22,16.09,14.7,4,40.2,208.9,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,22.3,471,53113,18.2,77.4,832.2,85.88,27.67,12.15,46.2,2,38.6,null,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,3.9,804,71855,13,87.9,358.6,87.6,37.81,16.6,19.9,3.6,39.1,260.78,/nchs/pressroom/states/newyork/ny.htm
2019,NC,13.1,1397,61159,13.6,66.1,371.8,88.61,32.3,11.82,45.8,1,39.1,97.08,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,12.4,93,70031,10.6,59.9,284.6,93.45,30.41,8.9,55.1,0,35.5,88.53,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,13.3,1578,64663,13.1,77.9,293.2,90.8,29.28,11.08,40,1,39.6,100.29,/nchs/pressroom/states/ohio/oh.htm
2019,OK,18.6,737,59397,15.2,66.2,431.8,88.42,26.21,9.11,54.7,0,37,53.01,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,12.6,566,74413,11.4,81,284.4,91.35,34.55,13.53,50.8,2.6,39.7,183.8,/nchs/pressroom/states/oregon/or.htm
2019,PA,11.7,1541,70582,12,78.7,306.4,91.01,32.31,12.8,40.7,2.6,40.8,287.17,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,4.6,48,70151,10.8,90.7,221.1,89.26,34.84,13.95,14.8,3.3,40.1,106.11,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,19.9,1012,62028,13.8,66.3,511.3,88.33,29.6,11.17,49.4,0,39.9,58.35,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,13.1,113,64255,11.9,56.7,399,92.13,29.32,9.11,55.3,0,37.7,84.13,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,18.4,1270,56627,13.9,66.4,595.2,88.01,28.72,10.72,51.6,0.6,39,87.48,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,12.7,3683,67444,13.6,84.7,418.9,84.65,30.77,10.79,45.7,0,35.1,40.65,/nchs/pressroom/states/texas/tx.htm
2019,UT,12.8,394,84523,8.9,90.6,235.6,93.04,34.77,11.33,46.8,1,31.2,70.86,/nchs/pressroom/states/utah/ut.htm
2019,VT,9.3,67,74305,10.2,38.9,202.2,93.07,38.66,15.99,50.5,1.6,42.8,291.7,/nchs/pressroom/states/vermont/vt.htm
2019,VA,11.7,1025,81313,9.9,75.5,208,90.04,39.59,17.24,44.6,1,38.5,92.58,/nchs/pressroom/states/virginia/va.htm
2019,WA,10.7,842,82454,9.8,84.1,293.9,91.68,36.97,14.19,42.1,3.3,37.9,113.67,/nchs/pressroom/states/washington/wa.htm
2019,WV,16.6,300,53706,16,48.7,316.6,87.14,21.05,8.43,58.5,0,42.9,94.44,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,10,604,67355,10.4,70.2,293.2,92.76,31.34,10.67,45.3,1.6,39.9,113.05,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,22.3,133,65355,10.1,64.8,217.4,94.55,29.13,10.36,66.2,0,38.1,118.8,/nchs/pressroom/states/wyoming/wy.htm
2018,AL,21.8,1064,,,https://www.icip.iastate.edu/tables/population/urban-pct-states,https://www.statista.com/statistics/200445/reported-violent-crime-rate-in-the-us-states/,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_educational_attainment,https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_educational_attainment,,https://worldpopulationreview.com/state-rankings/gun-ownership-by-state,https://worldpopulationreview.com/state-rankings/strictest-gun-laws-by-state,https://www.statista.com/statistics/208048/median-age-of-population-in-the-usa-by-state/,"https://www.kff.org/other/state-indicator/smha-expenditures-per-capita/?currentTimeframe=0&sortModel=%7B%22colId%22:%22SMHA%20Expenditures%20Per%20Capita%22,%22sort%22:%22desc%22%7D",/nchs/pressroom/states/alabama/al.htm
2018,AK,21,155,,,,,,,,,,,,/nchs/pressroom/states/alaska/ak.htm
2018,AZ,15.3,1147,,,,,,,,,,,,/nchs/pressroom/states/arizona/az.htm
2018,AR,18.9,573,,,,,,,,,,,,/nchs/pressroom/states/arkansas/ar.htm
2018,CA,7.5,3040,,,,,,,,,,,,/nchs/pressroom/states/california/ca.htm
2018,CO,15.2,889,,,,,,,,,,,,/nchs/pressroom/states/colorado/co.htm
2018,CT,4.9,186,,,,,,,,,,,,/nchs/pressroom/states/connecticut/ct.htm
2018,DE,11.6,107,,,,,,,,,,,,/nchs/pressroom/states/delaware/de.htm
2018,FL,12.9,2902,,,,,,,,,,,,/nchs/pressroom/states/florida/fl.htm
2018,GA,15.7,1680,,,,,,,,,,,,/nchs/pressroom/states/georgia/ga.htm
2018,HI,4,59,,,,,,,,,,,,/nchs/pressroom/states/hawaii/hi.htm
2018,ID,16.6,294,,,,,,,,,,,,/nchs/pressroom/states/idaho/id.htm
2018,IL,10.9,1382,,,,,,,,,,,,/nchs/pressroom/states/illinois/il.htm
2018,IN,14.7,977,,,,,,,,,,,,/nchs/pressroom/states/indiana/in.htm
2018,IA,8.7,282,,,,,,,,,,,,/nchs/pressroom/states/iowa/ia.htm
2018,KS,14.8,424,,,,,,,,,,,,/nchs/pressroom/states/kansas/ks.htm
2018,KY,16.9,762,,,,,,,,,,,,/nchs/pressroom/states/kentucky/ky.htm
2018,LA,21.4,991,,,,,,,,,,,,/nchs/pressroom/states/louisiana/la.htm
2018,ME,10.3,159,,,,,,,,,,,,/nchs/pressroom/states/maine/me.htm
2018,MD,11.7,707,,,,,,,,,,,,/nchs/pressroom/states/maryland/md.htm
2018,MA,3.5,258,,,,,,,,,,,,/nchs/pressroom/states/massachusetts/ma.htm
2018,MI,12.9,1310,,,,,,,,,,,,/nchs/pressroom/states/michigan/mi.htm
2018,MN,7.8,437,,,,,,,,,,,,/nchs/pressroom/states/minnesota/mn.htm
2018,MS,22.9,681,,,,,,,,,,,,/nchs/pressroom/states/mississippi/ms.htm
2018,MO,21.5,1311,,,,,,,,,,,,/nchs/pressroom/states/missouri/mo.htm
2018,MT,17.3,186,,,,,,,,,,,,/nchs/pressroom/states/montana/mt.htm
2018,NE,9,183,,,,,,,,,,,,/nchs/pressroom/states/nebraska/ne.htm
2018,NV,17.9,550,,,,,,,,,,,,/nchs/pressroom/states/nevada/nv.htm
2018,NH,10.8,155,,,,,,,,,,,,/nchs/pressroom/states/newhampshire/nh.htm
2018,NJ,4.8,420,,,,,,,,,,,,/nchs/pressroom/states/newjersey/nj.htm
2018,NM,20.7,438,,,,,,,,,,,,/nchs/pressroom/states/newmexico/nm.htm
2018,NY,4.1,821,,,,,,,,,,,,/nchs/pressroom/states/newyork/ny.htm
2018,NC,13.3,1416,,,,,,,,,,,,/nchs/pressroom/states/northcarolina/nc.htm
2018,ND,11.5,89,,,,,,,,,,,,/nchs/pressroom/states/northdakota/nd.htm
2018,OH,13.1,1555,,,,,,,,,,,,/nchs/pressroom/states/ohio/oh.htm
